Food Code,Food Name,Group,Type,Air (Water) (g),Energi (Energy) (Kal),Protein (Protein) (g),Lemak (Fat) (g),Karbohidrat (CHO) (g),Serat (Fibre) (g),Abu (ASH) (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (Vit. A) (mcg),Beta-Karoten (Carotenes) (mcg),Thiamin (Vit. B1) (mg),Riboflavin (Vit. B2) (mg),Niasin (Niacin) (mg),Karoten Total (Re) (mcg),Vitamin C (Vit. C) (mg)
CP014,"Black-eyed pea, boiled",Grains and Legumes,Processed/Products,64.4,138.0,10.7,1.1,22.6,0.9,1.2,165.0,172.0,4.0,13.0,6.7,0.8,6.1,,,0.01,0.17,3.2,,
CR033,"Black-eyed pea, dried",Grains and Legumes,Raw,13.5,331.0,24.4,1.9,56.6,1.6,3.6,481.0,399.0,13.9,15.0,7.8,1.03,5.9,,65.0,0.06,0.2,4.3,,
GP034,"Blackbanded trevally, cue, raw",Fish and Other Seafood,Processed/Products,42.6,240.0,21.7,7.7,20.7,,7.3,159.0,362.0,9.8,2041.0,159.0,1.5,8.8,,,0.51,0.02,,,
GR067,"Blackbanded trevally, fresh",Fish and Other Seafood,Raw,76.1,98.0,19.6,1.7,1.0,0.0,1.6,90.0,190.0,0.6,90.0,320.0,0.1,0.5,39.0,0.0,0.0,0.1,0.1,,
GR003,"Blackfin snapper, fresh",Fish and Other Seafood,Raw,82.2,75.0,16.1,0.7,0.1,0.0,0.9,32.0,200.0,1.8,37.0,204.1,1.6,1.3,0.0,20.0,0.08,0.0,2.5,0.0,0.0
GR063,"Blue crab, fresh",Fish and Other Seafood,Raw,76.7,96.0,19.5,1.1,2.0,0.0,0.8,9.0,129.0,0.3,43.0,154.0,0.1,0.5,,,0.15,0.02,1.7,,
AP037,Bobengka,Cereals,Processed/Products,46.3,225.0,5.3,2.6,45.2,,0.6,,,,,,,,,,,,,,
DP022,"Bogor pickled, vegetables",Vegetables,Processed/Products,78.0,98.0,3.9,2.6,14.8,0.5,0.7,314.0,17.0,1.2,483.0,,,,10.0,,0.28,,,146.0,5.0
AP038,Bolu peca,Cereals,Processed/Products,55.6,197.0,3.3,4.6,35.6,,0.9,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0
GP056,"Bou ninahu ndamate, dish",Fish and Other Seafood,Processed/Products,79.5,79.0,6.3,1.0,1.1,,2.1,,,,67.0,,,,691.0,,0.1,0.0,0.1,,
GP057,"Bouiki ninahu nggaluku, dish",Fish and Other Seafood,Processed/Products,73.9,94.0,7.8,2.2,10.8,,5.3,,,,58.0,179.4,,1.5,,,0.5,0.03,2.4,,
ER055,"Brazilian mango, fresh",Fruits,Raw,84.4,63.0,2.4,0.4,12.4,5.8,0.4,9.0,13.0,0.2,3.0,79.0,0.1,0.1,,10.0,0.18,0.01,0.4,,43.0
AP024,"Bread, white",Cereals,Processed/Products,40.0,248.0,8.0,1.2,50.0,9.1,0.8,10.0,95.0,1.5,530.0,91.0,0.15,0.9,0.0,0.0,0.1,0.29,2.4,0.0,0.0
EP015,Breadfruit flour,Fruits,Processed/Products,10.1,353.0,2.9,0.5,84.4,3.7,2.1,100.0,85.0,4.6,9.0,2008.0,0.1,0.6,,0.0,0.4,0.02,0.1,0.0,3.0
DR106,"Breadfruit, fresh",Vegetables,Raw,70.0,118.0,1.5,0.3,27.2,5.0,1.0,28.0,32.0,0.9,2.0,500.9,0.09,0.1,,0.0,0.1,0.03,0.9,20.0,19.0
JR002,Breastmilk,Milk and Dairy Products,Raw,88.1,62.0,1.5,3.2,7.0,0.0,0.2,34.0,20.0,0.2,15.0,41.0,0.01,0.4,,7.0,0.01,0.03,0.2,,
AP039,Brem,Cereals,Processed/Products,37.4,249.0,3.4,0.4,58.0,0.0,0.9,198.0,86.0,2.0,,,,,0.0,,0.34,0.0,0.0,240.0,0.0
FP039,Brongkos,Meat and Poultry,Processed/Products,76.4,141.0,15.3,3.3,12.6,1.0,2.4,87.0,97.0,5.1,,,,,4.0,,0.4,,,356.0,0.0
KR006,Buffalo fat (cow fat),Fat and Oil,Raw,5.0,818.0,1.5,90.0,0.0,0.0,3.5,0.0,0.0,0.0,29.0,25.8,0.0,0.0,0.0,283.0,0.0,0.0,0.7,,0.0
JR004,"Buffalo milk, fresh",Milk and Dairy Products,Raw,73.8,160.0,6.3,12.0,7.1,,0.8,216.0,101.0,0.2,82.0,,,0.3,24.0,,0.04,0.07,,,1.0
FR021,"Buffalo, meat, fresh",Meat and Poultry,Raw,80.0,79.0,18.7,0.5,0.0,0.0,0.8,14.0,221.0,3.3,91.0,273.0,0.13,1.6,,,0.06,0.17,5.0,,0.0
FP040,"Bulgogi, dish",Meat and Poultry,Processed/Products,84.2,72.0,11.4,4.9,1.4,1.7,0.7,214.0,86.0,2.5,509.0,,,,17.0,,1.08,,,,0.0
AP104,"Bun, dark brown skin",Cereals,Processed/Products,40.0,249.0,7.9,1.5,49.7,,0.9,20.0,140.0,2.5,500.0,91.0,,,0.0,0.0,0.15,,,0.0,0.0
KP002,Butter,Fat and Oil,Processed/Products,16.0,742.0,0.5,81.6,1.4,0.0,1.9,15.0,16.0,1.1,653.0,103.0,0.0,0.4,1000.0,155.0,0.0,0.1,0.0,,
CR023,"Butter nut, dried",Grains and Legumes,Raw,13.7,344.0,16.7,2.1,64.6,13.0,2.9,110.0,300.0,6.7,1.0,10.0,0.7,2.5,,0.0,0.21,0.07,1.2,,
DR044,"Cabbage leaves, fresh",Vegetables,Raw,86.2,51.0,2.5,1.1,8.0,3.4,2.2,100.0,50.0,3.4,50.0,100.0,0.9,0.6,,9999.0,0.4,0.1,0.2,,16.0
GR024,"Caesionidae, fresh",Fish and Other Seafood,Raw,74.1,108.0,22.3,1.2,2.1,0.0,0.3,30.0,220.0,0.5,50.0,230.0,0.1,0.6,40.0,29.0,0.0,0.1,0.2,,
HR002,"Caged egg, fresh",Eggs,Raw,74.3,154.0,12.4,10.8,0.7,0.0,0.8,86.0,258.0,3.0,142.0,118.5,0.16,1.0,61.0,22.0,0.12,0.38,0.2,104.0,0.0
HR004,"Caged egg, white (albumen), fresh",Eggs,Raw,87.8,50.0,10.8,0.0,0.8,0.0,0.6,6.0,17.0,0.2,164.0,138.5,0.03,0.4,0.0,0.0,0.0,0.26,0.4,,0.0
HR003,"Caged egg, yolk, fresh",Eggs,Raw,49.4,355.0,16.3,31.9,0.7,0.0,1.7,147.0,586.0,7.2,111.0,107.5,0.2,2.5,606.0,63.0,0.27,0.51,0.2,,0.0
DR121,"Calabash, fresh",Vegetables,Raw,95.0,19.0,0.6,0.2,3.8,0.6,0.4,12.0,18.0,0.6,2.0,168.2,0.03,0.8,,11.0,0.04,0.02,0.4,70.0,10.0
ER038,"Calamansi, fresh",Fruits,Raw,90.2,39.0,0.3,0.3,8.9,2.3,0.4,42.0,85.0,0.5,3.0,82.0,0.3,0.1,,1.0,0.02,0.1,0.0,0.0,30.0
DP029,Cammetutu,Vegetables,Processed/Products,79.6,102.0,3.2,6.0,8.7,4.3,2.5,41.0,93.0,0.5,443.0,518.0,0.3,0.7,,1123.0,0.3,0.4,0.4,,19.0
NR019,Candlenut,Herbs and Spices,Raw,7.0,675.0,19.0,63.0,8.0,3.0,3.0,80.0,200.0,2.0,25.0,430.7,0.23,0.8,,0.0,0.06,0.06,0.4,0.0,0.0
AP042,Cangkuning,Cereals,Processed/Products,57.5,204.0,2.8,7.5,31.4,,0.8,,,,,,,,,,,,,,
GP049,Canned sardine,Fish and Other Seafood,Processed/Products,47.1,338.0,21.1,27.0,1.0,0.0,3.8,354.0,434.0,3.5,,,,,76.0,0.0,0.1,,,,0.0
DP030,"Cap cai, vegetables",Vegetables,Processed/Products,82.7,97.0,5.8,6.3,4.2,0.6,1.0,287.0,89.0,1.8,405.0,,,,45.0,,0.21,,,1640.0,1.0
ER103,"Caqui, fresh",Fruits,Raw,73.8,111.0,0.9,2.3,21.6,1.0,1.4,20.0,185.0,0.7,28.0,117.8,0.04,0.1,0.0,119.0,0.0,0.04,1.5,12.0,19.0
DP020,"Carrot, boiled",Vegetables,Processed/Products,92.1,28.0,0.7,0.5,6.3,0.8,0.4,46.0,28.0,0.6,41.0,117.3,0.1,0.2,0.0,3824.0,0.01,0.03,0.7,5396.0,12.0
DR166,"Carrot, fresh",Vegetables,Raw,89.9,36.0,1.0,0.6,7.9,1.0,0.6,45.0,74.0,1.0,70.0,245.0,0.06,0.3,,3784.0,0.04,0.04,1.0,7125.0,18.0
DP021,"Carrot, steamed",Vegetables,Processed/Products,89.5,37.0,1.0,0.6,8.3,1.1,0.6,44.0,30.0,0.6,43.0,122.5,0.11,0.3,0.0,3994.0,0.02,0.03,0.8,7150.0,14.0
ER034,"Cashew apple, fresh",Fruits,Raw,82.6,64.0,0.7,0.6,15.8,1.2,0.3,4.0,13.0,0.5,12.0,107.8,,,,1604.0,0.02,0.0,2.0,25.0,197.0
CR028,"Cashew nut, fresh",Grains and Legumes,Raw,4.6,616.0,16.3,48.4,28.7,0.9,2.0,26.0,521.0,3.8,26.0,692.0,4.7,4.1,,5.0,0.64,0.03,0.0,,
CP010,"Cashew nut, fried",Grains and Legumes,Processed/Products,1.0,629.0,20.4,56.3,19.8,1.1,2.5,502.0,493.0,8.0,13.0,641.7,4.7,5.4,,5.0,0.37,0.22,1.8,,
DP008,"Cassava leaves, boiled",Vegetables,Processed/Products,90.5,31.0,3.7,0.6,4.8,1.6,0.4,160.0,50.0,2.6,13.0,14.0,0.1,2.0,,3897.0,0.02,0.1,1.7,4150.0,34.0
DR071,"Cassava leaves,fresh",Vegetables,Raw,84.4,50.0,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,0.0,3204.0,0.04,0.1,1.8,7052.0,103.0
BP025,"Cassava, ceriping getuk",Starchy Roots & Tubers,Processed/Products,7.2,462.0,1.2,20.7,67.7,0.6,3.2,1248.0,172.0,8.8,,,,,0.0,,0.29,0.02,0.5,152.0,0.0
BP037,"Cassava, chips",Starchy Roots & Tubers,Processed/Products,4.2,478.0,0.9,20.7,72.0,2.0,2.2,189.0,101.0,1.9,,,,,0.0,0.0,0.24,,,0.0,0.0
BP038,"Cassava, chips, seasoned",Starchy Roots & Tubers,Processed/Products,2.2,481.0,2.2,19.7,73.6,1.6,2.3,156.0,103.0,1.6,,,,,0.0,,0.31,,,80.0,0.0
BR016,"Cassava, fresh",Starchy Roots & Tubers,Raw,61.4,154.0,1.0,0.3,36.8,0.9,0.5,77.0,24.0,1.1,2.0,394.0,0.3,0.4,0.0,0.0,0.06,0.1,0.5,0.0,31.0
BP029,"Cassava, getuk",Starchy Roots & Tubers,Processed/Products,49.8,204.0,0.5,1.4,47.4,0.8,1.1,97.0,52.0,1.5,,,,,0.0,,0.08,,0.1,208.0,0.0
BP033,"Cassava, kecimpring, fried",Starchy Roots & Tubers,Processed/Products,3.7,464.0,1.2,18.6,73.0,1.3,3.5,82.0,52.0,3.4,,,,,,,0.34,,,3320.0,0.0
BP066,"Cassava, sliced, dried, flour",Starchy Roots & Tubers,Processed/Products,13.0,345.0,2.4,0.4,83.1,6.7,1.1,18.0,95.0,1.5,6.0,55.0,0.4,1.2,,1.0,0.3,0.2,0.1,0.0,0.0
BP008,"Cassava, steamed",Starchy Roots & Tubers,Processed/Products,61.5,153.0,1.2,0.3,36.4,1.3,0.6,56.0,22.0,0.4,2.0,345.3,0.3,0.1,0.0,0.0,0.0,0.0,0.3,0.0,20.0
BP063,"Cassava, tapai",Starchy Roots & Tubers,Processed/Products,57.4,169.0,1.4,0.3,40.2,2.0,0.7,21.0,34.0,0.8,,,,,0.0,0.0,0.0,,,0.0,9.0
BP024,Cassavastick,Starchy Roots & Tubers,Processed/Products,5.6,460.0,0.8,18.7,17.2,1.6,2.7,144.0,58.0,7.5,,,,,0.0,,0.19,0.07,0.1,107.0,0.0
CR004,"Castor bean, fresh",Grains and Legumes,Raw,72.1,118.0,4.4,1.5,21.6,,0.4,50.0,50.0,1.7,10.0,40.0,0.3,1.0,,,0.43,,,,
GP084,"Catfish pencok, dish",Fish and Other Seafood,Processed/Products,47.5,372.0,7.8,36.3,3.5,0.0,4.9,289.0,295.0,5.3,,,,,64.0,0.0,0.12,,,12070.0,0.0
GR045,"Catfish, fresh",Fish and Other Seafood,Raw,75.0,115.0,15.3,4.0,4.4,0.0,1.3,60.0,190.0,1.6,120.0,240.0,0.2,1.0,,,0.2,0.1,0.1,,
GR055,"Catfish, fresh",Fish and Other Seafood,Raw,81.1,76.0,14.4,1.1,2.2,,1.2,28.0,166.0,0.0,,325.0,0.1,0.6,,,0.31,0.11,,,
DR113,"Cauli flower, fresh",Vegetables,Raw,91.7,25.0,2.4,0.2,4.9,1.6,0.8,22.0,72.0,1.1,47.0,187.0,0.04,0.3,,24.0,0.11,0.09,0.6,90.0,69.0
DR034,"Ceara rubber leaves, fresh",Vegetables,Raw,80.3,92.0,4.0,3.6,10.9,5.8,1.2,140.0,70.0,1.6,70.0,90.0,0.3,1.1,,9999.0,0.1,0.2,0.1,,74.0
ER057,"Cedar bay mango, fresh",Fruits,Raw,82.2,63.0,0.5,0.2,16.7,2.3,0.4,14.0,10.0,0.7,3.0,118.1,0.05,0.1,,160.0,0.08,0.02,0.4,3715.0,65.0
DR147,"Celery, fresh",Vegetables,Raw,93.0,23.0,1.0,0.1,4.6,2.0,1.3,50.0,40.0,1.0,64.0,258.8,0.08,0.4,,63.0,0.03,0.07,0.4,130.0,11.0
ER021,"Cempedak (Artocarpus integer), fresh",Fruits,Raw,67.0,116.0,3.0,0.4,28.6,3.4,1.0,20.0,30.0,1.5,25.0,243.7,,,,79.0,0.0,,0.5,200.0,15.0
DR028,"Chasew leaves, unripe, fresh",Vegetables,Raw,78.0,78.0,4.6,0.5,16.2,3.0,0.7,33.0,64.0,8.9,14.0,670.5,,,,4484.0,0.02,1.12,1.1,2689.0,65.0
DR046,"Chayote leaves, fresh",Vegetables,Raw,89.7,34.0,4.0,0.4,4.7,3.5,1.2,58.0,70.0,2.5,16.0,630.7,0.2,0.3,,4773.0,0.08,0.4,1.7,2025.0,16.0
DR123,"Chayote, fresh",Vegetables,Raw,92.3,30.0,0.6,0.1,6.7,6.2,0.3,14.0,25.0,0.5,3.0,167.1,0.16,1.0,,48.0,0.02,0.0,0.6,20.0,18.0
JP003,Cheese,Milk and Dairy Products,Processed/Products,38.5,326.0,22.8,20.3,13.1,0.0,5.3,777.0,338.0,1.5,1410.0,82.7,0.03,3.1,227.0,128.0,0.01,0.37,0.1,,1.0
HP001,"Chicken egg, omelette, dish",Eggs,Processed/Products,61.9,251.0,16.3,19.4,1.4,0.0,1.0,62.0,250.0,2.5,,,,,36.0,,0.21,0.0,,221.0,0.0
FP041,"Chicken teriyaki, dish",Meat and Poultry,Processed/Products,68.2,168.0,13.0,9.6,7.5,0.8,1.7,137.0,106.0,3.1,959.0,,,,68.0,,0.65,,,2200.0,0.0
FR006,"Chicken, black pudding/blood, fresh",Meat and Poultry,Raw,82.0,75.0,13.8,1.9,0.7,0.0,1.6,15.0,9.0,1.3,337.0,234.0,,,15.0,,0.02,,0.6,,0.0
FP001,"Chicken, gizzard, fried",Meat and Poultry,Processed/Products,4.8,270.0,32.3,11.2,9.9,0.0,1.8,129.0,314.0,4.9,980.0,,0.12,3.3,56.0,,0.21,,4.7,0.0,0.0
FP002,"Chicken, intestine, fried",Meat and Poultry,Processed/Products,4.6,473.0,45.2,26.3,13.9,0.0,10.1,1407.0,458.0,8.4,,,,,6.0,,0.57,,0.0,224.0,
FR007,"Chicken, liver, fresh",Meat and Poultry,Raw,53.4,261.0,27.4,16.1,1.6,0.0,1.5,118.0,373.0,15.8,1068.0,22.9,0.84,0.0,4957.0,169.0,0.64,4.38,4.1,28000.0,0.0
FR005,"Chicken, meat, fresh",Meat and Poultry,Raw,55.9,298.0,18.2,25.0,0.0,0.0,0.9,14.0,200.0,1.5,109.0,385.9,0.11,0.6,245.0,0.0,0.08,0.14,10.4,,0.0
CR001,"Chickpea, dried",Grains and Legumes,Raw,11.6,330.0,23.8,1.4,60.2,17.4,3.0,57.0,388.0,4.7,24.0,874.3,0.85,3.4,,40.0,0.77,0.21,1.5,140.0,2.0
FP042,"Chikiniku, dish",Meat and Poultry,Processed/Products,65.4,143.0,9.8,1.4,22.8,0.4,0.6,301.0,63.0,2.0,531.0,,,,27.0,,0.73,,,1280.0,0.0
DR032,"Chinese Motherwort leaves, fresh",Vegetables,Raw,89.1,36.0,2.9,0.6,6.8,1.8,0.6,64.0,220.0,2.2,7.0,485.3,0.2,0.3,,2893.0,0.04,0.18,1.2,4377.0,4.0
BR032,Chinese yam,Starchy Roots & Tubers,Raw,72.5,108.0,0.5,0.4,25.6,4.2,1.0,30.0,40.0,0.5,1.0,1.0,0.1,0.2,0.0,13.0,0.09,0.06,0.6,0.0,24.0
BP012,"Chinese yam, steamed",Starchy Roots & Tubers,Processed/Products,58.5,165.0,0.9,0.2,39.8,1.1,0.6,20.0,23.0,0.8,1.0,0.9,0.1,0.2,0.0,0.0,0.02,0.1,0.5,0.0,0.0
DR016,"Choy sum, fresh",Vegetables,Raw,93.6,20.0,1.7,0.4,3.4,1.2,0.9,123.0,40.0,1.9,18.0,358.2,0.05,1.4,,1675.0,0.04,0.19,0.6,4188.0,3.0
GR005,"Chub mackerel, fresh",Fish and Other Seafood,Raw,76.5,107.0,16.5,3.9,1.5,0.0,1.5,54.0,202.0,2.0,86.0,253.4,0.5,1.0,25.0,0.0,0.05,0.1,2.5,0.0,0.0
FP021,"Church's texas fried chicken, breast",Meat and Poultry,Processed/Products,42.2,338.0,35.2,20.6,0.4,0.0,1.5,79.0,221.0,5.6,800.0,369.5,0.16,1.1,16.0,,0.52,0.16,12.1,80.0,0.0
FP022,"Church's texas fried chicken, thigh",Meat and Poultry,Processed/Products,50.3,287.0,31.0,15.7,1.7,0.0,1.3,99.0,176.0,4.1,723.0,257.0,0.17,1.5,22.0,,0.66,0.2,5.3,30.0,0.0
FP023,"Church's texas fried chicken, wings",Meat and Poultry,Processed/Products,47.2,295.0,34.0,16.0,1.5,0.0,1.3,81.0,179.0,3.0,771.0,237.2,0.16,1.2,13.0,,0.44,0.13,6.2,50.0,0.0
GR039,"Clam, fresh",Fish and Other Seafood,Raw,74.0,109.0,22.0,1.7,0.0,0.0,2.3,50.0,150.0,2.0,,,,,45.0,0.0,0.05,,,,0.0
GP045,"Clam, jerky, raw",Fish and Other Seafood,Processed/Products,9.3,393.0,38.9,13.3,29.4,,9.1,420.0,410.0,8.5,160.0,50.0,0.6,3.7,,,0.3,1.7,0.2,,
GP044,"Clam, smoked, raw",Fish and Other Seafood,Processed/Products,5.2,347.0,48.8,6.4,19.6,0.0,20.0,4608.0,1200.0,18.6,,,,,61.0,0.0,1.12,,,130.0,0.0
NR016,"Clove, dried",Herbs and Spices,Raw,23.3,330.0,5.2,8.9,57.4,10.0,5.2,740.0,100.0,4.9,282.0,961.0,0.3,0.0,,265.0,200.0,0.0,0.0,,
MP004,Cocoa powder,Convectionery,Processed/Products,3.9,311.0,8.0,4.0,48.9,32.6,15.4,125.0,715.0,11.6,,,,,,,0.12,,0.6,30.0,
AP069,Coconut cookie,Cereals,Processed/Products,3.3,591.0,5.6,42.1,47.5,,1.5,32.0,180.0,1.6,33.0,443.0,0.5,1.1,,,,,,,
KP003,Coconut milk (with water),Fat and Oil,Processed/Products,80.0,122.0,2.0,10.0,7.6,1.4,0.4,25.0,30.0,0.1,9.0,162.4,0.16,0.4,0.0,,0.02,0.0,0.5,,2.0
KR011,Coconut oil,Fat and Oil,Raw,0.0,870.0,1.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
MP006,Coconut palm sugar,Convectionery,Processed/Products,10.0,386.0,3.0,10.0,76.0,0.0,1.0,76.0,37.0,2.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.5,,0.0
DP054,Coconut umbut soup,Vegetables,Processed/Products,85.5,67.0,5.2,2.9,5.1,1.4,1.3,48.0,81.0,3.2,313.0,108.0,0.2,1.1,,21.0,0.2,,,,5.0
DR164,"Coconut umbut, fresh",Vegetables,Raw,89.3,39.0,2.0,0.2,7.2,2.5,1.3,57.0,49.0,,4.0,447.0,0.2,1.4,,16.0,0.1,0.1,,,8.0
CP022,"Coconut, bungkil",Grains and Legumes,Processed/Products,16.0,368.0,23.0,15.0,40.0,,38.0,137.0,433.0,41.5,,,,,0.0,,0.0,0.46,8.9,,
ER032,Common guava,Fruits,Raw,82.8,61.0,0.9,0.3,15.4,4.5,0.6,31.0,41.0,0.2,20.0,103.0,0.04,0.5,,53.0,1.02,0.06,1.3,18.0,116.0
DR025,"Common purslane leaves, fresh",Vegetables,Raw,90.3,30.0,1.3,0.7,5.8,1.3,1.9,350.0,210.0,11.9,5.0,333.3,0.31,1.2,0.0,4701.0,0.01,0.14,0.7,1954.0,1.0
ER080,"Cooking plantain, fresh",Fruits,Raw,74.4,100.0,1.4,0.5,23.6,2.6,0.6,15.0,0.0,0.1,1.0,493.0,0.08,0.3,,3.0,0.1,0.0,0.6,,11.0
NR020,"Coriander, dried",Herbs and Spices,Raw,11.2,418.0,14.1,16.1,54.2,12.3,4.4,630.0,370.0,17.9,91.0,1787.0,0.95,4.6,,75.0,0.2,0.35,1.8,1570.0,0.0
AP051,Corn gerontol,Cereals,Processed/Products,61.7,156.0,2.7,1.3,33.3,1.0,0.8,51.0,105.0,1.2,,,,,0.0,,0.08,0.0,0.0,162.0,0.0
AP009,Corn rice,Cereals,Processed/Products,11.0,357.0,8.8,0.5,79.5,6.2,0.3,5.0,43.0,0.6,2.0,30.4,0.1,0.3,,0.0,0.3,0.02,0.1,0.0,0.0
AR006,"Corn rice, white, dried, raw",Cereals,Raw,22.5,307.0,4.8,0.1,71.8,10.0,0.8,17.0,78.0,1.2,1.0,70.0,0.1,3.5,,301.0,0.15,0.07,0.9,,0.0
AR005,"Corn rice, yellow, dried, raw",Cereals,Raw,10.8,358.0,5.5,0.1,82.7,10.0,0.9,20.0,90.0,1.4,1.0,80.0,0.1,4.1,,641.0,0.12,0.08,1.0,,3.0
AP052,Corn titi,Cereals,Processed/Products,9.2,374.0,9.4,2.2,79.1,0.8,0.1,14.0,142.0,2.9,,,9.0,,,,0.2,,,11507.0,
AP008,"Corn vermicelli, raw",Cereals,Processed/Products,11.3,354.0,0.5,0.3,87.4,3.0,0.5,13.0,111.0,0.6,49.0,1.4,0.4,0.0,,0.0,0.02,0.02,0.3,0.0,0.0
AR017,"Corn, shelled, variant harapan, dried",Cereals,Raw,11.3,367.0,6.2,5.1,76.2,2.6,1.2,7.0,354.0,2.8,1.0,79.6,0.1,4.1,,637.0,0.19,0.08,1.0,385.0,0.0
AR018,"Corn, shelled, variant metro, dried",Cereals,Raw,10.6,368.0,5.5,4.6,78.0,2.9,1.3,7.0,300.0,2.4,1.0,80.2,0.1,4.1,,642.0,0.16,0.08,1.0,554.0,0.0
AP013,"Corn, white, flour",Cereals,Processed/Products,12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,0.38,0.02,0.3,0.0,
AP011,"Corn, yellow, flour",Cereals,Processed/Products,12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,0.38,0.02,0.3,510.0,
AP012,"Corn, yellow, shelled, boiled",Cereals,Processed/Products,63.7,154.0,3.8,3.5,28.4,0.7,0.6,7.0,171.0,0.5,5.0,56.4,0.1,4.4,,818.0,0.08,0.1,1.7,234.0,0.0
AR016,"Corn, yellow, shelled, dried, raw",Cereals,Raw,11.5,366.0,9.8,7.3,69.1,2.2,2.4,30.0,538.0,2.3,5.0,79.4,0.1,4.1,,636.0,0.12,0.12,1.8,641.0,3.0
AP010,"Corn, young, boiled",Cereals,Processed/Products,53.2,142.0,5.0,0.7,30.3,0.8,0.8,5.0,105.0,0.8,5.0,24.3,0.2,0.9,,145.0,0.15,0.0,0.7,225.0,0.0
AP019,Cornstarch,Cereals,Processed/Products,14.0,341.0,0.3,0.0,85.0,7.0,0.7,20.0,30.0,1.5,6.0,9.0,0.22,1.6,0.0,0.0,0.0,0.09,1.3,0.0,0.0
DR040,"Cosmos leaves, fresh",Vegetables,Raw,87.6,45.0,3.7,0.5,6.6,5.8,1.7,328.0,65.0,2.7,6.0,431.0,0.1,0.6,,30200.0,0.5,0.3,4.5,12.0,0.0
FP044,"Coto mangkasara, beef, dish",Meat and Poultry,Processed/Products,85.9,84.0,6.0,6.0,1.4,,0.7,8.0,104.0,4.0,90.0,25.0,0.3,0.6,,,0.16,0.14,10.3,,
FP043,"Coto mangkasara, horse, dish",Meat and Poultry,Processed/Products,83.5,96.0,6.8,5.9,3.8,,0.9,11.0,106.0,2.3,96.0,31.0,0.1,1.0,,,0.23,0.14,4.2,,
JR006,"Cow milk, fresh",Milk and Dairy Products,Raw,88.3,61.0,3.2,3.5,4.3,0.0,0.7,143.0,60.0,1.7,36.0,149.0,0.02,0.3,39.0,12.0,0.03,0.18,0.2,,1.0
GR038,"Crab, fresh",Fish and Other Seafood,Raw,65.0,161.0,11.9,11.5,2.4,0.0,9.2,70.0,237.0,0.0,,,,,0.0,,0.05,,,0.0,0.0
JR001,"Cream, fresh",Milk and Dairy Products,Raw,72.5,204.0,2.6,20.0,4.0,0.0,0.9,97.0,77.0,0.1,,,,,252.0,191.0,0.03,0.2,0.1,,1.0
FP004,"Crocodile, meat, jerked meat, raw",Meat and Poultry,Processed/Products,12.3,365.0,49.6,4.8,30.8,,2.5,60.0,130.0,4.3,500.0,680.0,0.2,11.6,,0.0,,,0.2,,
DR110,"Cucumber (krai), fresh",Vegetables,Raw,96.8,10.0,0.5,0.2,2.0,0.6,0.5,20.0,98.0,1.0,10.0,82.1,0.03,0.1,0.0,19.0,0.02,0.03,0.1,21.0,3.0
DR109,"Cucumber, fresh",Vegetables,Raw,97.9,8.0,0.2,0.2,1.4,0.3,0.3,29.0,95.0,0.8,2.0,57.1,0.02,0.1,0.0,18.0,0.01,0.02,0.1,314.0,1.0
HP006,"Cucuru bayau, dish",Eggs,Processed/Products,35.0,349.0,6.8,18.7,38.3,,1.2,,,,,,,,,123.0,0.06,0.25,0.0,,
GR015,"Cyprinid fish, fresh",Fish and Other Seafood,Raw,79.1,90.0,14.9,2.5,2.1,0.0,1.4,125.0,265.0,1.0,35.0,207.0,0.4,0.6,,,0.36,0.03,2.9,,
GR032,"Cyprinid freshwater fish, fresh",Fish and Other Seafood,Raw,80.3,77.0,16.4,0.7,1.3,0.0,1.3,182.0,248.0,0.9,40.0,334.0,0.7,0.8,,,0.16,0.15,1.9,,
FP010,"Deer, meat, jerked meat, raw",Meat and Poultry,Processed/Products,18.3,536.0,40.5,41.5,0.0,,2.5,90.0,420.0,13.4,130.0,690.0,0.3,10.7,285.0,,,,0.2,,
DR069,"Dillenia leaves, fresh",Vegetables,Raw,86.2,53.0,3.2,2.5,7.6,1.6,0.9,228.0,194.0,3.5,,,,,0.0,,0.02,,,3346.0,5.0
DR093,"Djenkol, fresh",Vegetables,Raw,52.7,192.0,5.4,0.3,40.7,1.5,0.9,4.0,150.0,0.7,60.0,241.0,0.3,0.6,,,0.05,0.2,0.5,,31.0
FP045,"Djibokum, dish",Meat and Poultry,Processed/Products,43.4,248.0,10.0,2.3,40.9,0.1,3.4,116.0,110.0,2.8,401.0,,,,52.0,,0.75,,,1920.0,0.0
